Sample ID,Cruise ID,Station,Polymer,Depth_label,Depth(m),Timepoint,replicate_timepoint,incubation_time(hours),Date_inject,volume_inject_uL,Area,CO2_area_nmol,headspace_volume,CO2_in_bottle_umol,delta_13C,co2_average,co2_stdev,mean_delta_13C,sd_delta_13c
N2104168,PE480,st04,background,-,NA,t2,2,72,4/16/2021,50,3127.9,70.69,45,63.621,0.22,63.129,1.3556979752142466,0.56033333333333335,0.3047561867023102
N2104169,PE480,st04,background,-,NA,t2,3,72,4/16/2021,50,3154.7,71.3,45,64.17,0.653,63.129,1.3556979752142466,0.56033333333333335,0.3047561867023102
N2104173,PE480,st11,background,-,NA,t2,1,72,4/19/2021,50,3122.8,70.58,45,63.522,147.624,61.98,4.46154367904204,49.309999999999995,85.19653304565861
N2104174,PE480,st11,background,-,NA,t2,2,72,4/19/2021,50,3218.7,72.74,45,65.466,3.189,61.98,4.46154367904204,49.309999999999995,85.19653304565861
N2104175,PE480,st11,background,-,NA,t2,3,72,4/19/2021,50,2800.1,63.28,45,56.952,-2.883,61.98,4.46154367904204,49.309999999999995,85.19653304565861
N2104188,PE480,st11,PP,D01,NA,t1,1,24,4/19/2021,50,2932.2,66.27,45,59.643,188.374,62.283,2.287741462665743,132.547,48.34799548068151
N2104189,PE480,st11,PP,D01,NA,t1,2,24,4/19/2021,50,3131.1,70.76,45,63.684,104.438,62.283,2.287741462665743,132.547,48.34799548068151
N2104190,PE480,st11,PP,D01,NA,t1,3,24,4/19/2021,50,3122.8,70.58,45,63.522,104.829,62.283,2.287741462665743,132.547,48.34799548068151
N2104191,PE480,st11,PP,D02,NA,t1,1,24,4/19/2021,50,3436.7,77.67,45,69.903,103.833,67.674,2.6119285977989564,135.64566666666667,57.56413092658772
N2104192,PE480,st11,PP,D02,NA,t1,2,24,4/19/2021,50,3185.8,72,45,64.8,202.095,67.674,2.6119285977989564,135.64566666666667,57.56413092658772
N2104193,PE480,st11,PP,D02,NA,t1,3,24,4/19/2021,50,3358.7,75.91,45,68.319,101.009,67.674,2.6119285977989564,135.64566666666667,57.56413092658772
N2104179,PE480,st11,PP,D01,NA,t2,1,72,4/19/2021,50,3102.9,70.13,45,63.117,270.223,63.525,0.622910105874037,274.19033333333334,6.481575142921156
N2104180,PE480,st11,PP,D01,NA,t2,2,72,4/19/2021,50,3158.6,71.38,45,64.242,281.67,63.525,0.622910105874037,274.19033333333334,6.481575142921156
N2104181,PE480,st11,PP,D01,NA,t2,3,72,4/19/2021,50,3108.1,70.24,45,63.216,270.678,63.525,0.622910105874037,274.19033333333334,6.481575142921156
N2104182,PE480,st11,PP,D02,NA,t2,1,72,4/19/2021,50,3044,68.79,45,61.911,280.576,61.62,0.4284541982522752,281.27866666666665,4.80369965061651
N2104183,PE480,st11,PP,D02,NA,t2,2,72,4/19/2021,50,3039.6,68.69,45,61.821,286.395,61.62,0.4284541982522752,281.27866666666665,4.80369965061651
N2104184,PE480,st11,PP,D02,NA,t2,3,72,4/19/2021,50,3005.3,67.92,45,61.128,276.865,61.62,0.4284541982522752,281.27866666666665,4.80369965061651
N2104185,PE480,st11,PP,D01,NA,t3,1,144,4/19/2021,50,3020.7,68.27,45,61.443,344.106,48.624651,32.389906795160805,NA,NA
N2104186,PE480,st11,PP,D01,NA,t3,2,144,4/19/2021,50,10.6,0.23956,45,0.215604,NA,48.624651,32.389906795160805,NA,NA
N2104187,PE480,st11,PP,D01,NA,t3,3,144,4/19/2021,50,3178.6,71.84,45,64.656,352.892,48.624651,32.389906795160805,NA,NA
